token,title,publish_date,city,district,url,description,mileage,year_raw,color,brand_model,third_party_insurance,Gearbox_type,Gearbox_condition,fuel_type,asking_price_raw,engine_condition,chassis_condition,body_condition,vehicle_type,asking_price,mileage_km,year_jalali,year_gregorian
gapaW1y1,فیات ۵۰۰ ۲۰۱۵,2026-09-15 19:10:00,تهران,ولنجک,https://divar.ir/v/gapaW1y1,"نمایشگاه شیخ 

مقدس اردبیلی نبش شادآور نمایشگاه شیخ

فیات ۵۰۰ 
بدون رنگ و بدون خط و خش 
۵۰ تا کار واقعی 
داخل سفید با سیستم آلپاین و صندلی دولچه 

خریدار ماشین شما به بهترین قیمت هستیم 
پذیرش و فروش خودرو شما در کمترین زمان ممکن",۵۰۰۰۰,۲۰۱۵,سفید,فیات 500,,دنده‌ای,,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,50000.0,1394.0,2015.0
gapaWIAR,ام وی ام 550 اتومات,2026-09-15 19:07:00,تهران,پرواز,https://divar.ir/v/gapaWIAR,"مناسب مصرف کننده قیمت با نظر کارشناس بی طرف
موتور و گیربکس و ... سلامت 
هر گونه مصرفی و غیر مصرفی نو 
گیربکس تازه سرویس شده صفر تا صد
جلو بندی و کمک ها  و کاتالیزور و کمپرس کولر و .... نو
تسمه تایم و  دینام و فولی ها و هرزگرد و ... نو
لاستیک 80 درصد 
بیمه و ...
کیلس استارت 
روکش و کف پا و شیشه دودی و تصویری بزرگ و ....
کابین در حد صفر
شمع و وایر و باطری و ...نو
رادیات و شلنگ و لوله ها سرویس شده
فنی و سواری عالی بی رنگ شاسی ها سالم
حدود 500 میلیون هزینه شده 
جهت مصرف شخصی 
تنها ضعف خودرو آفتاب سوختگی هست که قابل حل هست تخفیف هم بابتش داده میشه",۲۰۲۰۰۰,۱۳۹۴ - ۲۰۱۵,قهوه ای,ام وی ام 550 اتوماتیک,۱۰ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,خط و خش جزیی,,1000000.0,202000.0,1394.0,2015.0
gapW2zAY,خودرو دنا توربو اتومات آبشنال,2026-09-15 19:07:00,تهران,گیشا,https://divar.ir/v/gapW2zAY,خودرو فوق بدون رنگ بوده  کم کار کرد نکته ای که وجود داره بنده محل کارم اسلامشهر هست و تا ساعت 9 شب در این محل هستم برای بازدید حضوری لطفاً هماهنگ کنید مچکرم,۳۳۰۰۰,۱۴۰۳ - ۲۰۲۴,سفید,دنا پلاس اتوماتیک,۶ ماه,اتوماتیک,,بنزین,"‏۲,۶۸۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,2680000.0,33000.0,1403.0,2024.0
gapWWJid,فولکس بیتل ۲۰۱۳,2026-09-15 19:03:00,تهران,ولنجک,https://divar.ir/v/gapWWJid,"نمایشگاه شیخ 

مقدس اردبیلی نبش شادآور 
بیتل ۲۰۱۳ 
سه آمپر با سیستم صوتی فندر 
۶۰ تا کار 
فول 

خریدار ماشین شما به بهترین قیمت هستیم
پذیرش و فروش خودرو شما در کمترین زمان ممکن",۶۰۰۰۰,۲۰۱۳,سفید,فولکس بیتل کوپه,,دنده‌ای,,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,60000.0,1392.0,2013.0
gaWSXTS8,دنا _ خشک _مدل ۱۴۰۴ -۱۴۰۵_تحویل روز,2026-09-01 10:14:00,کرج,اصفهانی ها,https://divar.ir/v/gaWSXTS8,"آموت خودرو  
✅ کارگزاری فروش نقدی خودروهای صفر و خشک 
✅ تحویل فوری-همان لحظه مستقیم از پارکینگ نمایندگی
 ✅ امکان رویت و کارشناسی خودرو قبل از تسویه 
✅ خودرو دارای بیمه و گارانتی شرکتی 
✅ سند آزاد بدون هزینه اضافه 
✅تسویه بعد از تحویل 
✅فروش محصولات ایران خودرو ،سایپا ، پارس خودرو 
✅معاوضه انواع خودرو های صفر 
✅تخفیف بیمه بدنه (75%)",۰,۱۴۰۵ - ۲۰۲۶,سفید,دنا پلاس 6 دنده دستی EF7P,۱۲ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,10000.0,0.0,1405.0,2026.0
galGVShr,لاماری ایما ، مدل 1404 ، صفر,2026-09-12 16:50:00,کرج,جهان شهر,https://divar.ir/v/galGVShr,"لاماری ایما ، مدل 1404 ، رنگ سفید صدفی ، صفر 
گارانتی فعال",۰,۱۴۰۴ - ۲۰۲۵,سفید صدفی,لاماری ایما,۱۰ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1404.0,2025.0
gapa2GhS,پژو پارس tu5.مدل آخر 140۲ سیمی سفارش مدیران بیرنگ,2026-09-15 19:16:00,کرج,بنیاد,https://divar.ir/v/gapa2GhS,"باسلام 
تک برگ سند 
پژو پارس تیوفایو ارتقا یافته سفارش مدیران 
بیرنگ بشرط کارشناسی شما 
بدون کوچکترین خط و خش روی بدنه 
کم کار کرد بشرط کارشناسی شما 
دوست عزیز اول فیلم نگاه کنید بعد تماس بگیرد لطفا برای وقت هم ارزش قائل باشیم بهتره 
موتور تیوفایو هستش.10 ..سوپاپ
 گیربکس زانتیای هستش 
4..چرخ دیکس هستش 
رینگ صلیبی  شرکتی اروند
لاستیک ها پهن خوب عالی..صد.در.صد
پرقدرت پر شتاب کاملا کم مصرف 
صندلیها برقی
 آینه.های بغل تاشو برقی 
چراغ های ..سپر بروز
تمامی چراغها ال ای دی 
بیمه شخص ثالت..۱۱...ماه
بیمه بدنه فول.۱۰.ماه 
نمایشگاهی هم نیستم
دلال.ماشین هم نیستم
فقط مصرف کننده لطفا تماس بگیرد
 لطفا ..فقط فقط تماس جواب میدم اس ام اس جوابگو نیستم به هیچ عنوان",۱۰۰۰۰,۱۴۰۲ - ۲۰۲۳,سفید صدفی,پژو پارس LX TU5,۱۱ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,10000.0,10000.0,1402.0,2023.0
gaoSx6lW,پراید مدل۹۸,2026-09-14 19:15:00,کرج,شاهین ویلا,https://divar.ir/v/gaoSx6lW,"پراید مدل ۱۳۹۸ | ۱۱۰ هزار کارکرد واقعی

✅ فنی سالم و بدون هزینه
✅ ۱۱۰,۰۰۰ کیلومتر کارکرد واقعی
✅ تک‌برگ سند
✅ ۴ حلقه لاستیک نو
✅ دیسک و صفحه نو
✅ استوپر کروز نو
✅ فن رادیاتور و پایه فن نو
✅ کولر بسیار خنک ❄️
✅ شیشه دودی آمریکایی
✅ کفی سه‌بعدی
✅ سرویس‌ها به‌موقع انجام شده
✅ ماشین آماده استفاده و بدون هزینه‌

بدنه:گلگیر جلو چپ، درب جلو چپ و درب عقب چپ تعویض شرکتی

شاسی ترک جزئی بدون تصادف

باتری نو
 

 قیمت: تماس",۱۱۰۰۰۰,۱۳۹۸ - ۲۰۱۹,سفید,پراید 131 SE,,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۰۰۰,۰۰۰ تومان",سالم,,رنگ‌شدگی در ۳ ناحیه,,1000000.0,110000.0,1398.0,2019.0
gaVNNENP,رانا پلاس چهارچرخ دیسک ارتقا یافته_ صفر خشک,2026-07-14 09:42:00,کرج,مهرویلا جنوبی,https://divar.ir/v/gaVNNENP,"✅عاملیت فروش خودروهای صفر 
سایپا/ایرانخودرو/پارس خودرو/بهمن /کرمان موتور و..
✅نقد و اقساط

✅سند تمامی خودروها ازاد و هزینه سند به عهده مجموعه
 
✅۷۰ درصد تخفیف بیمه بدنه 
۳سال گارانتی



✅تحویل به روز و فوری 

کارشناس فروش :یزدانی",۰,۱۴۰۵ - ۲۰۲۶,سفید,رانا پلاس TU5P,,,,بنزین,"‏۱۰۰,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,100000.0,0.0,1405.0,2026.0
gaycFYPZ,سمند سورن پلاس دوگانه سوز، مدل ۱۴۰۵ صفر,2026-06-17 13:25:00,کرج,گوهردشت,https://divar.ir/v/gaycFYPZ,"خرید فروش خودرو صفر اتوگاری S
صفاوردی

 جزئیات خودرو
- مدل ۱۴۰۵ صفر کیلومتر و خشک
- موتور ef7 دوگانه سوز
- مخزن بزرگ
- رنگ سفید با سیستم SBR
- وضعیت بدنه و فنی کاملاً سالم و پلمپ

 شرایط و خدمات فروش
- دارای ۲ سال گارانتی فعال
- دارای ۱سال بیمه ثالث
- ۷۰ درصد تخفیف بیمه بدنه
- هزینه انتقال سند بر عهده نمایشگاه
- امکان کارشناسی بدنه پیش از تسویه و تحویل
- فروش فوری خودروی صفر شما در کمتر از ۲۴ ساعت

 گزینه‌های معاوضه
امکان معاوضه با خودروهای صفرکیلومتر زیر فراهم است:
- ۲۰۷
- کوییک
- شاهین
- دنا پلاس
- سورن
- سهند
- تارا
- ریرا

 ارتباط و بازدید
ساعت بازدید از ۱۰ صبح الی ۲۰ شب می‌باشد. برای مشاوره در خرید و استعلام نهایی با ما تماس بگیرید. صفاوردی",۰,۱۴۰۴ - ۲۰۲۵,سفید,سمند سورن پلاس EF7 دوگانه سوز,۱۲ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۲۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,200000.0,0.0,1404.0,2025.0
gaeWmIqk,مزدا کارا دوکابین ۲۰۰۰cc مدل ۱۴۰۱ مشابه صفر,2026-09-07 10:48:00,کرج,حصارک بالا,https://divar.ir/v/gaeWmIqk,"عرض ادب و احترام (کارشناسی شده توسط کارنامه)
مزدا کارا دوکابین ۲۰۰۰cc مدل ۱۴۰۱

• بدنه کاملاً بیرنگ، بدون خط و خش (شاسی‌ها کاملاً سالم و پلمپ)
• مجهز به کفی بار فایبرگلاس
• کارکرد واقعی ۱۳۶ هزار کیلومتر
• وضعیت فنی فوق‌العاده سالم و تمامی سرویس‌ها به‌موقع انجام شده
• لنت‌ها، روغن، هیدرولیک و جلوبندی تازه سرویس شده
• بیمه شخص ثالث: ۲ ماه
• لاستیک‌ها: ۸۰ درصد
• دارای معافیت معاینه فنی (تا سال ۱۴۰۶)
• سند آماده انتقال

فروشنده واقعی هستم و با خریدار محترم پای معامله راه می‌آیم. خودرو به شرط کارشناسی تقدیم می‌شود.",۱۳۶۰۰۰,۱۴۰۱ - ۲۰۲۲,سفید,وانت مزدا کارا دو کابین 2000cc,۲ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۲,۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,2100000.0,136000.0,1401.0,2022.0
gapS0mB_,پرشیا سال ۹۶,2026-09-15 16:44:00,کرج,فاز ۴ مهرشهر,https://divar.ir/v/gapS0mB_,"پژو سال مدل ۹۶ موتور xu7
چراغ های عقب بالا سفید تازه انداختم  
چراغ جلو مدل سفارشی دودی 
رینگ و لاستیک سایز ۱۵ یک ماهه خریداری شده
۶ ماه بیمه 
شمع و وایر و لنت تازه تعویض شده
اتاق بی صدا تمیز بدون خط خش
بدون ریالی خرج
برگ کارشناسی آخرین تصویر گذاشتم .",۱۷۰۰۰۰,۱۳۹۶ - ۲۰۱۷,سفید,پژو پارس XU7,۶ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۳۵۰,۰۰۰ تومان",سالم,تعیین‌نشده,صافکاری بی‌رنگ,,1350000.0,170000.0,1396.0,2017.0
gap-GhIt,پژو207دنده ای پانا با رینگ,2026-09-15 19:48:00,مشهد,عنصری,https://divar.ir/v/gap-GhIt,پژو ۲۰۷فول دنده ای پانا با رینگ فول ترین حالت ممکن صندلی چرم,۰,۱۴۰۵ - ۲۰۲۶,سفید,پژو 207i پانوراما دنده ای,۱۰ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۲,۳۵۵,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,2355000.0,0.0,1405.0,2026.0
gaR6tB7I,۲۰۶ تیپ ۲ فرانسوی سفید روغنی,2026-08-28 22:44:00,مشهد,کوثر,https://divar.ir/v/gaR6tB7I,"سلام و احترام

پژو ۲۰۶ تیپ ۲ - رنگ سفید مدل ۱۳۸۵

کارکرد: ۲۳۰ هزار کیلومتر واقعی

وضعیت فنی و مصرفی‌ها:

• تمامی سرویس‌های دوره‌ای به تازگی و با وسواس انجام شده.

• دیسک و صفحه، لنت‌ها و اقلام مصرفی به تازگی تعویض شده (بدون ریالی خرج فنی، آماده مسافرت).

• موتور و گیربکس در سلامت کامل به شرط کارشناسی.

وضعیت بدنه و شاسی:

• شاسی‌های جلو و عقب کاملاً سالم و پلمپ (بدون کوچک‌ترین ضربه).

• سقف و بدنه کاملاً بدون آفتاب‌سوختگی.

• کاپوت جلو به دلیل یک تصادف بسیار جزئی و صرفاً جهت زیبایی/یکدست بودن تعویض شرکتی شده.

• گلگیرهای جلو نیز به جای لیسه‌گیری و قلم‌گیری، جهت زیبایی رنگ شده‌اند.

داخل کابین تمیز و مرتب.

تخفیف جزئی پای معامله به خریدار محترم و واقعی.",۲۳۰۰۰۰,۱۳۸۵ - ۲۰۰۶,سفید,پژو 206 تیپ ۲,,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,رنگ‌شدگی در ۲ ناحیه,,1000.0,230000.0,1385.0,2006.0
gap22_Rw,باسلام پراید141,2026-09-15 19:40:00,مشهد,هنرور,https://divar.ir/v/gap22_Rw,پراید سالم موتوری جلوبندی سالم رینگ و لاستیک عالی سند حاضر ماشین دوبار کلاً دست به دست شده مالیات عوارض خلافی همش صفر شده حاضر و آماده انتقال. بزرگواران درسته ۱۴۱ میگن بد بخر بد فروش اما در شرایط فعلی با این سوخت فوق العاده ماشین کم هزینه کم استهلاک و خ...کار. آب و روغن تمام... بنگاه‌دار نیستم مالکم مشکل پراید ۱۴۱ تنها صندوق عقب هست ه اون هم خیلی حساس باشه کسی هستند با عایق‌بندی مشکل صدا رو حل می‌کنند. داخل عکس برگه تشخیص خودرو می‌زارم قسمت شاسی ورنگ زده سالم توضیح ندادم عکس و مشاهده کنید,۵۲۰۰۰۰,۱۳۸۷ - ۲۰۰۸,خاکستری,پراید 141 دوگانه سوز,۳ ماه,دنده‌ای,سالم و پلمپ,دوگانه‌سوز دستی,"‏۴,۰۸۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,4080000.0,520000.0,1387.0,2008.0
gap22kis,اسپورتیج ۲۰۱۶,2026-09-15 19:40:00,مشهد,بهشت,https://divar.ir/v/gap22kis,"فول کامل اروپا 
فوق العاده تمیز استثنایی 
بدون رنگ 
تک برگ سند 
۱۳۰ هزارتا کار",۱۳۰۰۰۰,۲۰۱۶,مشکی,کیا اسپورتیج 2400cc,,اتوماتیک,سالم و پلمپ,بنزین,"‏۱۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,10000.0,130000.0,1395.0,2016.0
gaLWdfHL,۲۰۶ تیپ دو مدل ۹۹,2026-08-24 08:55:00,مشهد,شریف,https://divar.ir/v/gaLWdfHL,"باسلام 
۲۰۶ تیپ ۲ مدل ۱۳۹۹
فنی و موتور به شرط کیلومتر۱۱۶۰۰۰هزار به شرط دیاگ
بدنه بدون رنگ .بدون، خط و خش و گریسی  زاپاس استفاده نشده درحدصفر
بدنه وداخل کابین درحدصفر. ضدسرقت کامل کامل

تمام مصرفیها شامل روغن موتور ، تسمه تایم ، دینام و باطری تعویض
بیمه ۶ماه و معاینه فنی یک سال",۱۱۶۰۰۰,۱۳۹۹ - ۲۰۲۰,سفید,پژو 206 تیپ ۲,۵ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۳۵۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1350000.0,116000.0,1399.0,2020.0
gaD-ltSF,کی ام سی J7,2026-08-17 22:54:00,مشهد,آزادشهر,https://divar.ir/v/gaD-ltSF,"مدل ۱۵ اسفند ۱۴۰۱
۷۳۰۰۰ کارکرد 
تمام سرویس ها سر ۵۰۰۰تا نمایندکی پاکروان انجام شده و قابل استعلام هست.
بدون رنگ و نقطه و خط و خش.
لاستیک‌ها رو عوض کردم و لاستیک خارجی انداختم.
بدنه سرامیک ۵ ساله در دوب گاراژ شده ٫ فاکتور ضمانتش‌موجود هست.
نسبت به مدل فوق العاده کم کار هست.
فروش‌به دلیل ارتقا.
معاوضه با تیگو۷ پرو،فیدلیتی،کم کار .",۷۳۰۰۰,۱۴۰۱ - ۲۰۲۲,طوسی,کی ام سی J7,۷ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,100000.0,73000.0,1401.0,2022.0
gapi2YHq,مرکز خرید و فروش تویوتا( کرولا کراس ،الیت،لوین),2026-09-15 19:18:00,مشهد,ارشاد,https://divar.ir/v/gapi2YHq,"⚜️گروه خودرویی الوندی⚜️
تمامی مدل های کرولا کراس ۲۰۲۶
۲۰۲۵ نیوفیس
۲۰۲۵ فیس قدیم
۲۰۲۴
با پلاک و مدارک،کارتکس
تمام رنگ ها
موجود میباشد
تویوتا لوین،الیت،۱۸۰۰،۱۲۰۰
انواع کمری ها
وایلندر
راف فور
و …
موجود
خودرو شما را به قیمت روز خریداریم 
با 50% پیش پرداخت صاحب خودرو دلخواهتان شوید
امکان معاوضه با خودرو های صفر و کارکرده

✅مدارک آماده انتقال
✅سند آزاد
✅با قیمت های منصفانه
✅تحویل فوری خودرو
☎️با یک تماس به خودرو دلخواه خود برسید
❗️جهت بازدید خودرو لطفا فقط تماس بگیرید❗️
تمامی خودرو های  وارداتی. چینی. خارجی. ایرانی موجود می‌باشد
چینی: کی ام سی- لاماری- تیگو -فونیکس-فیدیلیتی-دیگینیتی-
 هایما-چانگان-لوکانو-بالنو-گک-هاوال-x33-x22-آریزو-ریسپکت-
وارداتی:چانگان-اوتلندر-کرولا-ایکستریم-هونگچی-آی دی فور-تانک ۳۰۰-سیار-گرندویتارا-فرانکس-کیکس-سیلفی-قشقایی-جیمینی-سیتی-لوی-کرتا-کونا-آئودی-وزل-
خارجی: بی ام و-بنز-لکسوس-تالیسمان-وراکروز-ولو-هایلوکس-ولستر-آزار-سوناتا-افجی کروز-النترا پورشه-اسپورتیج-اپتیما-سانتافه-توسان-جنسیس-مزدا-رافور-سورنتو-کمری-سراتو-ایرانی:۲۰۷-پارس-دنا-شاهین-تارا-ری را-۲۰۶-اطلس-سورن-",۰,۲۰۲۶,سفید,تویوتا کرولا کراس هیبرید 2 لیتری,,,,بنزین,"‏۱,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
galmkAd6,کوییک صفر فول سفید مشکی,2026-09-12 16:16:00,مشهد,فاطمیه,https://divar.ir/v/galmkAd6,"فول ترین و زیباترین کوییک 
رنگ سفید مشکی
 پارس خودرو
دارای ترمز esc و SBR
 هدلایت و دیلایت
سیستم پایداری
دارای ضبط حرفه ای نصب کارخانه
 موتور بزرگ ، موتور اطلس دارد و با کوییک معمولی متفاوت می باشد
خودرو صفر و فقط از نمایندگی تا منزل آورده شده و دیگه استفاده نشده
 مدارک کامل و آماده انتقال می باشد",۱,۱۴۰۵ - ۲۰۲۶,سفید,کوییک GXR تیپ L,۱۲ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۴۵۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1450000.0,1.0,1405.0,2026.0
gaouTMT3,۹۸پراید,2026-09-14 21:52:00,مشهد,فاطمیه,https://divar.ir/v/gaouTMT3,"پراید مدل۹۸ بدون رنگ 
کم کار 
شاسی ها سالم پلمپ 
مدارک کامل و بنام خودم 
اماده تعویض پلاک 
نهایت وکالت ۱۰ الی ۱۵ روزه 
شیشه دودی آمریکایی یو اس آ 
دزدگیر 
لاستیک ها ۱۰۰درصد ۴حلقه 
فقط فقط  نقدی 
معاوضه ندارم 
علت فروش ماشین بنامم درآمده وگرنه اصلا نمیفروختم 

اطلاعات بیشتر و قیمت تماس بگیرید
پیام جوابگو نیستم",۵۶۰۰۰,۱۳۹۸ - ۲۰۱۹,سفید,پراید 132 SE,,دنده‌ای,,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,56000.0,1398.0,2019.0
ganGSyOY,رانامدل ۹۴-tu5,2026-09-15 18:57:00,مشهد,یوسفیه (شهرک غرب),https://divar.ir/v/ganGSyOY,"باسلام ماشین همینطور که‌تو کارشناسی هست چندتا جاش خیلی جزئی و ترافیکی رنگ شده شاسی سالم-سینی پشت چراغ داره
موتوریtu5 سالم
بیمه یک ماه
قیمت آگهی بدون مانیتور و سیستم صوتی
اینا جداحساب میشه اگه کسی خواست
معاوضه با آریسان ۲
یا وانت پراید هم دارم",۳۰۰۰۰۰,۱۳۹۴ - ۲۰۱۵,سفید,رانا LX,۱ ماه,دنده‌ای,,بنزین,"‏۱,۱۵۰,۰۰۰ تومان",سالم,سالم و پلمپ,رنگ‌شدگی در ۱ ناحیه,,1150000.0,300000.0,1394.0,2015.0
gapK2CtW,مرکز خرید و فروش جی سون(انواع خودروها)_j 7,2026-09-15 18:52:00,مشهد,ارشاد,https://divar.ir/v/gapK2CtW,"⚜️گروه خودرویی الوندی⚜️

کی ام سی صفر و‌کارکرده،در همه رنگ موجود

کافیه فقط خودروی خودتون رو به ما بسپارین،در کمترین زمان ممکن به فروش میرسه.

به بهترین قیمت خودروی دلخواهتون رو از ما بخرین
کافیه یکبار امتحان کنید



خودرو شما را به قیمت روز خریداریم 


امکان معاوضه با خودرو های صفر و کارکرده

✅مدارک آماده انتقال
✅سند آزاد
✅با قیمت های منصفانه
✅تحویل فوری خودرو

☎️با یک تماس به خودرو دلخواه خود برسید

❗️جهت بازدید خودرو لطفا فقط تماس بگیرید❗️

تمامی خودرو های  وارداتی. چینی. خارجی. ایرانی موجود می‌باشد

چینی: کی ام سی- لاماری- تیگو -فونیکس-فیدیلیتی-دیگینیتی-
 هایما-چانگان-لوکانو-بالنو-گک-هاوال-x33-x22-آریزو-ریسپکت-

وارداتی:چانگان-اوتلندر-کرولا-ایکستریم-هونگچی-آی دی فور-تانک ۳۰۰-سیار-گرندویتارا-فرانکس-کیکس-سیلفی-قشقایی-جیمینی-سیتی-لوی-کرتا-کونا-آئودی-وزل-


خارجی: بی ام و-بنز-لکسوس-تالیسمان-وراکروز-ولو-هایلوکس-ولستر-آزار-سوناتا-افجی کروز-النترا پورشه-اسپورتیج-اپتیما-سانتافه-توسان-جنسیس-مزدا-رافور-سورنتو-کمری-سراتو-

ایرانی:۲۰۷-پارس-دنا-شاهین-تارا-ری را-۲۰۶-اطلس-سورن-",۰,۱۴۰۵ - ۲۰۲۶,سفید,کی ام سی J7,,,,بنزین,"‏۱,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
gap-F5L0,پژو 405 مدل 89 دوگانه,2026-09-15 18:40:00,مشهد,نوده,https://divar.ir/v/gap-F5L0,"باسلام
پژو 405مدل 89 ماشین بدون رنگ می‌باشد شاستی ها سالم دوگانه کارخانه منبع نیسانی بیمه و معاینه فنی اخراش هست که اگر خواستین براتون بیمه ومعاینه میکنم بعد تحویلتون میدم ماشین آفتاب سوختگی دارد موتوری تازه تعمیر بدون روغن ریزی و سوزی جلو بندی تازه تعمیر می‌باشد 
معاوضه با 207تا 1500هم دارم 
تشکر",۱۰۰۰۰۰,۱۳۸۹ - ۲۰۱۰,نقره ای,پژو 405 GLX - دوگانه سوز CNG,۱ ماه,دنده‌ای,سالم و پلمپ,دوگانه‌سوز شرکتی,"‏۷۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,خط و خش جزیی,,700000.0,100000.0,1389.0,2010.0
gapCHytf,پژو۴۰۵,2026-09-15 19:54:00,اصفهان,شهرک صنعتی امیرکبیر (شاپور جدید),https://divar.ir/v/gapCHytf,"سلام ودرود پژو۴۰۵
فنی به شرط کار شناسی شما
رنگی یه کاپوت استوک کارخانه",۳۷۰۰۰,۱۳۸۸ - ۲۰۰۹,نقره ای,پژو 405 GLX بنزینی,,دنده‌ای,سالم و پلمپ,بنزین,"‏۶,۸۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,خط و خش جزیی,,6800000.0,37000.0,1388.0,2009.0
gapumtX9,پراید ۱۳۲,2026-09-15 19:41:00,اصفهان,بهرام آباد,https://divar.ir/v/gapumtX9,با درود و احترام پراید ۱۳۲مصرفیها و زیر و بند تازه عوض شده به مشتری واقعی تخفیف میدم,۲۰۰۰۰۰,۱۳۹۶ - ۲۰۱۷,سفید,پراید 132 ساده,۴ ماه,دنده‌ای,,بنزین,"‏۸۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,خط و خش جزیی,,800000.0,200000.0,1396.0,2017.0
ganapjKm,پژو روا ۸۶,2026-09-15 19:40:00,اصفهان,هزارجریب,https://divar.ir/v/ganapjKm,"دوتا قوطی زیر شاسی ترک داشته جوش دادن 
لاستیک ها نو 
کپسول گار ۱۵ سال تاریخ ریگلاتور نو 
بدون روغن سوزی و روغن ریزی
قیمتو پایین تر تمام آگهی ها و نمایشگاها گذاشتم 
تخفیف نداره آخرین قیمته
معاوضه فقط با پراید",۱۰۰۰۰۰,۱۳۸۶ - ۲۰۰۷,نوک مدادی,پژو روآ (ROA) سال دوگانه سوز,۸ ماه,دنده‌ای,سالم و پلمپ,دوگانه‌سوز شرکتی,"‏۲۷,۰۰۰,۰۰۰ تومان",سالم,ضربه‌خورده,رنگ‌شدگی در ۲ ناحیه,,27000000.0,100000.0,1386.0,2007.0
gapm2yVN,کوییک r صفر ۴۰۵ سفید مشکی,2026-09-15 19:24:00,اصفهان,پوریای ولی,https://divar.ir/v/gapm2yVN,"تحویل برج ۳
سند اماده انتقال
ضبط ندارد",۶۲,۱۴۰۵ - ۲۰۲۶,سفید,کوییک دنده ای R,۸ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱۴,۳۵۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,14350000.0,62.0,1405.0,2026.0
gaXWgcEa,۲۰۷ مدل ۴۰۴ پانا ارتقا یافته,2026-09-01 20:44:00,اصفهان,راه آهن,https://divar.ir/v/gaXWgcEa,"ماشین تمیز درحد
تخفیف پای معامله
فروش فوری",۲۰۰۰۰,۱۴۰۴ - ۲۰۲۵,سفید,پژو 207i پانوراما دنده ای,۶ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۲۲,۳۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,22300000.0,20000.0,1404.0,2025.0
